  76 reproducibility	probability
   4 reduce	manual
   4 ratios	of
   4 queries	required
   4 provided	in
   4 propose	a
   4 probability	to
   4 prior	work
   4 precision	at
   4 popular	queries
   4 pairwise	conclusions
   4 our	semiautomatic
   4 our	own
   4 our	experimentation
   4 our	environment
   4 our	analysis
   4 only	on
   4 only	a
   4 on	average
   4 of	tied
   4 of	them
   4 of	such
   4 of	relevance
   4 of	reducing
   4 of	misses
   4 of	finding
   4 of	evaluation
   4 of	error
   4 of	each
   4 of	difference
   4 of	all
   4 nonparametric	bootstrap
   4 necessary	to
   4 manual	method
   4 larger	than
   4 judgments	from
   4 is	also
   4 into	conclusions
   4 intelligent	evaluation
   4 insight	into
   4 in	table
   4 in	jensen
   4 in	average
   4 in	appendix
   4 hypothesis	testing
   4 however	we
   4 half	of
   4 goal	of
   4 from	one
   4 from	manual
   4 form	of
   4 for	any
   4 first	we
   4 find	that
   4 false	alarm
   4 every	engine
   4 evaluations	over
   4 evaluations	are
   4 evaluation	over
   4 evaluate	the
   4 estimated	power
   4 estimate	reproducibility
   4 entire	sample
   4 ensure	that
   4 enough	sample
   4 engine	rankings
   4 effort	by
   4 effectiveness	of
   4 document	collection
   4 discussed	in
   4 different	query
   4 depends	on
   4 de	martini
   4 confidence	intervals
   4 conclusions	of
   4 conclusions	by
   4 comparing	evaluations
   4 by	half
   4 best	page
   4 because	they
   4 be	predicted
   4 be	found
   4 average	number
   4 available	in
   4 as	with
   4 as	we
   4 as	our
   4 as	in
   4 are	often
   4 are	likely
   4 are	available
   4 and	zobel
   4 and	a
   4 alone	we
   4 able	to
   4 a	reliable
   4 a	query
   4 a	pilot
   4 a	manual
   4 a	2
   4 2	4
   3 would	be
   3 world	wide
   3 without	system
   3 with	very
   3 with	samples
   3 with	over
   3 will	be
   3 wide	web
   3 which	we
   3 where	the
   3 when	using
   3 we	would
   3 we	then
   3 we	show
   3 we	set
   3 we	seek
   3 we	saw
   3 we	only
   3 we	hypothesized
   3 we	found
   3 we	conclude
   3 we	adopt
   3 very	few
   3 version	of
   3 using	only
   3 use	a
   3 trec	collections
   3 too	small
   3 to	yield
   3 to	similarly
   3 to	represent
   3 to	provide
   3 to	perform
   3 to	not
   3 to	evaluate
   3 to	another
   3 this	case
   3 this	by
   3 their	own
   3 the	worst
   3 the	world
   3 the	retrieved
   3 the	results
   3 the	raw
   3 the	probability
   3 the	other
   3 the	observed
   3 the	need
   3 the	likelihood
   3 the	largest
   3 the	informational
   3 the	first
   3 the	engines
   3 the	effort
   3 the	denominator
   3 the	costs
   3 that	we
   3 that	is
   3 that	estimates
   3 that	a
   3 tests	that
   3 testing	procedures
   3 task	we
   3 table	iv
   3 table	ii
   3 strategies	that
   3 static	test
   3 so	that
   3 smaller	number
   3 small	to
   3 small	numbers
   3 size	required
   3 size	necessary
   3 size	m
   3 size	for
   3 similarly	high
   3 significantly	different
   3 shown	in
   3 seek	to
   3 see	table
   3 see	section
   3 see	figure
   3 see	appendix
   3 section	4
   3 search	task
   3 search	effectiveness
   3 scores	are
   3 score	difference
   3 samples	q
   3 sample	the
   3 sample	in
   3 sample	alone
   3 retrieved	pools
   3 requires	a
   3 representing	the
   3 reliable	reproducibility
   3 reliability	is
   3 relevance	judgments
   3 regardless	of
   3 referred	to
   3 reducing	evaluation
   3 reduces	the
   3 recent	work
   3 r	r
   3 query	to
   3 query	sets
   3 queries	with
   3 queries	from
   3 queries	as
   3 purely	manual
   3 provides	a
   3 provide	an
   3 probability	we
   3 probability	for
   3 probability	estimate
   3 primary	goal
   3 post	hoc
   3 pooling	the
   3 point-wise	bootstrap
   3 pilot	of
   3 performing	engines
   3 per	query
   3 pass	et
   3 outperforms	the
   3 outperforms	engine
   3 our	focus
   3 or	not
   3 one	evaluation
   3 on	conclusions
   3 on	a
   3 of	pilot
